Index,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Weight_segment,Price,Price-binned,Screen-Full_HD,Screen-IPS_panel
0,Acer,4,2,1,5,14,0.551724138,8,256,3.528,Medium,978,Low,0,1
1,Dell,3,1,1,3,15.6,0.689655172,4,256,4.851,Heavy,634,Low,1,0
2,Dell,3,1,1,7,15.6,0.931034483,8,256,4.851,Heavy,946,Low,1,0
3,Dell,4,2,1,5,13.3,0.551724138,8,128,2.6901,Light,1244,Low,0,1
4,HP,4,2,1,7,15.6,0.620689655,8,256,4.21155,Medium,837,Low,1,0
5,Dell,3,1,1,5,15.6,0.551724138,8,256,4.851,Heavy,1016,Low,1,0
6,HP,3,3,1,5,15.6,0.551724138,8,256,4.6305,Heavy,1117,Low,1,0
7,Acer,3,2,1,5,15,0.551724138,4,256,4.851,Heavy,866,Low,0,1
8,Dell,3,1,1,5,15.6,0.862068966,4,256,5.0715,Heavy,812,Low,1,0
9,Acer,3,3,1,7,15,0.620689655,8,256,4.851,Heavy,1068,Low,0,1
10,Dell,3,1,1,7,15.6,0.620689655,8,256,4.69665,Heavy,975,Low,1,0
11,HP,3,2,1,3,15.6,0.689655172,4,128,4.21155,Medium,558,Low,1,0
12,Asus,3,2,2,3,15.6,0.689655172,4,256,4.41,Medium,527,Low,1,0
13,Dell,4,2,1,5,14,0.551724138,8,256,3.7485,Medium,1117,Low,1,0
14,Asus,3,2,1,5,14,0.551724138,8,256,3.087,Light,1195,Low,1,0
15,HP,3,2,1,5,15.6,0.862068966,8,256,4.1013,Medium,876,Low,1,0
16,Dell,4,1,1,7,13,0.620689655,8,256,3.087,Light,1213,Low,0,1
17,Dell,3,1,1,7,15.6,0.620689655,8,256,4.851,Heavy,1105,Low,1,0
18,Dell,4,2,1,5,15,0.551724138,8,256,4.1454,Medium,1392,Low,0,1
19,HP,3,2,1,5,14,0.551724138,8,256,3.59415,Medium,1092,Low,1,0
20,HP,4,3,1,7,15,0.620689655,8,256,4.03515,Medium,888,Low,0,1
21,HP,3,2,1,5,15.6,0.862068966,8,256,4.3218,Medium,761,Low,1,0
22,Dell,4,2,1,7,13,0.620689655,8,256,2.66805,Light,2095,Medium,0,1
23,Dell,1,3,1,5,15.6,0.862068966,8,256,5.84325,Heavy,1518,Low,1,0
24,Asus,4,2,1,7,14,0.931034483,8,256,2.75625,Light,1333,Low,1,0
25,Dell,3,1,2,3,15.6,0.689655172,4,256,4.851,Heavy,616,Low,1,0
26,Asus,3,3,1,3,15.6,0.827586207,6,256,4.41,Medium,733,Low,1,0
27,HP,3,1,1,7,15.6,0.931034483,8,256,4.21155,Medium,913,Low,1,0
28,HP,4,3,1,7,13,0.931034483,8,256,3.0429,Light,1421,Low,0,1
29,HP,3,3,1,5,14,0.862068966,6,256,4.10622103,Medium,837,Low,0,1
30,Asus,4,3,1,7,14,0.931034483,8,256,2.8665,Light,1515,Low,0,1
31,Lenovo,3,2,1,7,14,0.931034483,8,256,3.4839,Medium,1880,Medium,0,1
32,Dell,4,2,1,5,13,0.551724138,8,256,2.66805,Light,2069,Medium,0,1
33,Asus,3,3,1,7,15.6,0.620689655,8,256,3.7485,Medium,1420,Low,1,0
34,HP,3,2,1,5,17.3,0.551724138,8,256,5.5125,Heavy,1179,Low,1,0
35,Acer,4,2,1,7,14,0.620689655,8,256,3.528,Medium,1123,Low,0,1
36,Acer,3,3,1,3,15.6,0.931034483,4,256,4.851,Heavy,727,Low,1,0
